SKU,"ERP Product Ref","Created Date",Status,Message
HD-C04512140000,N/A,"2021/02/06 10:40: AM","The value ""None"" can't be evaluated into type Integer.",Failed
HD-C04512250000,N/A,"2021/02/06 10:40: AM","The value ""None"" can't be evaluated into type Integer.",Failed
HD-C04710690000,N/A,"2021/02/06 10:40: AM","The value ""None"" can't be evaluated into type Integer.",Failed
HD-C04710690000-2019,N/A,"2021/02/06 10:45: AM","The value ""None"" can't be evaluated into type Integer.",Failed
HD-C04512140000-2019,N/A,"2021/02/06 10:49: AM","The value ""None"" can't be evaluated into type Integer.",Failed
HD-C04512250000-2019,N/A,"2021/02/06 10:49: AM","The value ""None"" can't be evaluated into type Integer.",Failed
HD-RHBATNS40(ZL),N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
HD-RHBATDIN55,N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
HD-RHBATNS60(L),N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
HD-RHBATDIN66,N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
HD-RHBATDIN88,N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
HD-RHBATDIN100,N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
HD-RHBATN120L,N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
HD-RHBAT115D31(L),N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
HD-RHBAT105D31(L),N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
HD-RHBAT55D23(L),N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
HD-RHBAT80D26(L),N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
HD-RHBAT105D31R,N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
HD-RHBAT55D231R,N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
HD-RHBAT80D26R,N/A,"2021/02/06 10:49: AM","The value """" can't be evaluated into type Integer.",Failed
