SKU,"ERP Product Ref","Created Date",Status,Message
HD-RHBATNS40(ZL),N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBATDIN55,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBATNS60(L),N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBATDIN66,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBATDIN88,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBATDIN100,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBATN120L,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT115D31(L),N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT105D31(L),N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT55D23(L),N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT80D26(L),N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT105D31R,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT55D231R,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
HD-RHBAT80D26R,N/A,"2021/02/11 09:20: AM",Failed,"The value """" can't be evaluated into type Integer."
